직무,기업,제목,주소,기술스택
서버/백엔드 개발자,투비콘,"웹 개발자(ASP.NET, C#) 채용",서울 중구,"ASP.NET
· C#
· MSSQL
· REST API
· SQL
· AWS"
서버/백엔드 개발자,쿡앱스,"[쿡앱스] 서버 프로그래머(병역특례-전문연구요원, 석사 학력 이상)",경기 성남시,"TypeScript
· Python
· Git
· gRPC
· Rest.li
· Docker
· MySQL
· PostgreSQL"
서버/백엔드 개발자,티엔에이치,[부산] 백엔드 개발자 (Node.js),부산 해운대구,"Node.js
· TypeScript
· MySQL
· JavaScript
· Linux
· jQuery"
서버/백엔드 개발자,페이타랩,"[패스오더] 백엔드 개발자 (Spring, Python, MSA) (병역특례/산업기능요원/보충역/전직)",서울 강남구,"Python
· Java
· Jenkins
· AWS
· Redis
· PostgreSQL
· MSA
· Docker
· NGINX"
서버/백엔드 개발자,챔프스터디,[해커스 교육그룹] PHP 프로그래머 채용,서울 서초구,"MariaDB
· Linux
· REST API
· AWS CodeCommit
· Git
· MySQL
· AWS
· PHP"
서버/백엔드 개발자,제이앤피메디,[JNPMEDI] 백엔드 개발자 신입 모집,인천 연수구,"TypeScript
· MySQL
· AWS
· GitHub Actions
· Java"
서버/백엔드 개발자,넛지헬스케어,[병역특례] 백엔드 개발(Node.js) 산업기능요원 모집,서울 강남구,"Node.js
· mysql
· amazon dynamodb
· postgresql
· elasticsearch
· aws"
서버/백엔드 개발자,씨케이스택,"Node.js 백엔드 개발자, IoT플랫폼 개발자",경기 성남시,"Node.js
· MySQL
· Redis
· MQTT
· Python
· AWS"
서버/백엔드 개발자,페이타랩,"[패스오더] 백엔드 개발자(Spring, Python, MSA)",서울 강남구,"Python
· Java
· Kotlin
· Flask
· Spring
· Git
· Jenkins
· Docker
· AWS"
서버/백엔드 개발자,데브툴즈,백엔드 개발자,경기 안양시,"Go
· Node.js
· NoSql
· REST API"
서버/백엔드 개발자,엑셈,[코스닥상장사] C 개발자(신입),서울 강서구,"C
· C++
· Linux
· Windows"
서버/백엔드 개발자,린온컴퍼니,[서포티] Backend 개발(신입/경력),서울 강남구,"Node.js
· Java
· JavaScript
· TypeScript"
서버/백엔드 개발자,업스테이지,Software Engineer - Backend,경기 용인시,"Golang
· Python
· TypeScript
· C
· C++
· AWS
· MariaDB
· PostgreSQL
· NoSql"
서버/백엔드 개발자,인포그랩,[인포그랩] Backend 소프트웨어 엔지니어 (신입/경력),경기 성남시,"Node.js
· NestJS
· TypeScript
· Go
· PostgreSQL
· TypeORM
· Docker
· AWS"
서버/백엔드 개발자,필락시스,Go 웹 방화벽 개발자,서울 중구,"Go
· PostgreSQL
· Redis
· MongoDB
· NoSql
· Golang"
서버/백엔드 개발자,유디아이디,전자결제서비스(PG) PHP 개발자 모집,서울 구로구,"PHP
· MySQL
· MongoDB
· Laravel
· GitLab
· JavaScript
· jQuery"
서버/백엔드 개발자,팬마음,[병역특례 현역] 백엔드 Node.js 개발자,서울 강남구,"Node.js
· Git
· AWS"
서버/백엔드 개발자,에이치엠씨네트웍스,[CARENATION] 백엔드 개발자(Php),서울 강남구,"MySQL
· MariaDB
· HTML5
· CSS 3
· jQuery
· Bootstrap
· Spring Framework"
서버/백엔드 개발자,브리치,백엔드 서버 개발자,서울 강남구,"PHP
· CodeIgniter
· Laravel
· React.js Boilerplate
· Vue.js
· AngularJS"
서버/백엔드 개발자,파인더스,백엔드 개발자 채용,서울 영등포구,"Java
· Spring Boot
· Spring Data JPA
· MariaDB
· NestJS
· MongoDB
· AWS"
